run_time(sec),data_size(Byte),comm_freq(Hz),queue_size,talk_length,talk_mdeian,talk_mean,talk_stdev,talk_sum,lstn_length,lstn_mdeian,lstn_mean,lstn_stdev,lstn_sum
1,10,1,10,1,10,10,0,10,1,0,0,0,0
1,10,1,10,1,10,10,0,10,2,0.0,0,0.0,0
1,10,1,10,1,10,10,0,10,3,0,0,0.0,0
1,10,1,10,1,10,10,0,10,4,0.0,0,0.0,0
1,10,1,10,1,10,10,0,10,5,0,0,0.0,0
1,10,1,10,2,10.0,10,0.0,20,1,0,0,0,0
1,10,1,10,2,10.0,10,0.0,20,2,0.0,0,0.0,0
1,10,1,10,2,10.0,10,0.0,20,3,0,0,0.0,0
1,10,1,10,2,10.0,10,0.0,20,4,0.0,0,0.0,0
1,10,1,10,2,10.0,10,0.0,20,5,0,0,0.0,0
1,10,1,10,3,10,10,0.0,30,1,0,0,0,0
1,10,1,10,3,10,10,0.0,30,2,0.0,0,0.0,0
1,10,1,10,3,10,10,0.0,30,3,0,0,0.0,0
1,10,1,10,3,10,10,0.0,30,4,0.0,0,0.0,0
1,10,1,10,3,10,10,0.0,30,5,0,0,0.0,0
1,10,1,10,4,10.0,10,0.0,40,1,0,0,0,0
1,10,1,10,4,10.0,10,0.0,40,2,0.0,0,0.0,0
1,10,1,10,4,10.0,10,0.0,40,3,0,0,0.0,0
1,10,1,10,4,10.0,10,0.0,40,4,0.0,0,0.0,0
1,10,1,10,4,10.0,12.5,5.0,50,5,10,10,0.0,50
1,10,1,10,5,10,10,0.0,50,1,0,0,0,0
1,10,1,10,5,10,10,0.0,50,2,0.0,0,0.0,0
1,10,1,10,5,10,10,0.0,50,3,0,0,0.0,0
1,10,1,10,5,10,10,0.0,50,4,0.0,0,0.0,0
1,10,1,10,5,10,10,0.0,50,5,0,0,0.0,0
3,100,10,10,1,3000,3000,0,3000,1,2900,2900,0,2900
3,100,10,10,1,3000,3000,0,3000,2,2900.0,2900,0.0,5800
3,100,10,10,1,3000,3000,0,3000,3,2900,2900,0.0,8700
3,100,10,10,1,3000,3000,0,3000,4,2900.0,2900,0.0,11600
3,100,10,10,1,3000,3000,0,3000,5,2900,2900,0.0,14500
3,100,10,10,2,3000.0,3000,0.0,6000,1,5800,5800,0,5800
3,100,10,10,2,3000.0,3000,0.0,6000,2,5800.0,5800,0.0,11600
3,100,10,10,2,3000.0,3000,0.0,6000,3,5800,5800,0.0,17400
3,100,10,10,2,3000.0,3000,0.0,6000,4,5800.0,5800,0.0,23200
3,100,10,10,2,3000.0,3000,0.0,6000,5,5800,5800,0.0,29000
3,100,10,10,3,3000,3000,0.0,9000,1,8700,8700,0,8700
3,100,10,10,3,3000,3000,0.0,9000,2,8700.0,8700,0.0,17400
3,100,10,10,3,3000,3000,0.0,9000,3,8700,8700,0.0,26100
3,100,10,10,3,3000,3000,0.0,9000,4,8700.0,8700,0.0,34800
3,100,10,10,3,3000,3000,0.0,9000,5,8600,8640,54.772255750516614,43200
3,100,10,10,4,3000.0,3000,0.0,12000,1,11600,11600,0,11600
3,100,10,10,4,3000.0,3000,0.0,12000,2,11600.0,11600,0.0,23200
3,100,10,10,4,3000.0,3000,0.0,12000,3,11600,11600,0.0,34800
3,100,10,10,4,3000.0,3000,0.0,12000,4,11350.0,11375,206.15528128088303,45500
3,100,10,10,4,3000.0,3000,0.0,12000,5,11500,11460,54.772255750516614,57300
3,100,10,10,5,3000,3000,0.0,15000,1,14500,14500,0,14500
3,100,10,10,5,3000,3000,0.0,15000,2,14500.0,14500,0.0,29000
3,100,10,10,5,3000,3000,0.0,15000,3,14500,14500,0.0,43500
